마자, 59, 148
하다, 62, 186
카라, 65, 157
라아, 67, 142
파가, 90, 180
파마, 67, 140
라가, 97, 196
다마, 53, 193
타파, 57, 148
마사, 42, 178
아사, 65, 184
사가, 91, 163
바카, 44, 174
자바, 61, 146
파다, 62, 190
다아, 98, 172
차하, 69, 188
하사, 76, 177
다하, 41, 164
차나, 94, 163
하마, 89, 168
하차, 98, 165
사하, 85, 162
가차, 98, 168
마라, 81, 164
자나, 64, 145
카하, 50, 195
카파, 42, 172
자가, 54, 179
바파, 69, 140
마자, 91, 162
파라, 79, 165
카라, 59, 156
아자, 93, 178
다파, 90, 155
자다, 66, 149
나마, 51, 176
바라, 51, 180
차사, 69, 162
바자, 86, 159
하마, 52, 166
마하, 96, 189
타타, 52, 153
나마, 72, 193
카타, 46, 149
하가, 51, 147
하사, 46, 140
사아, 54, 140
아하, 76, 160
가가, 76, 161
나다, 67, 153
라자, 76, 158
다하, 63, 146
파타, 67, 180
카나, 65, 160
파파, 62, 175
사바, 53, 181
아다, 80, 145
하마, 96, 176
카바, 45, 177
타아, 87, 157
사나, 70, 177
자자, 86, 163
가사, 48, 147
사다, 78, 158
차다, 55, 175
차파, 68, 182
자가, 93, 197
나사, 76, 193
바아, 50, 190
가하, 45, 162
하가, 40, 181
차아, 70, 156
타나, 88, 195
바자, 45, 171
자나, 90, 154
차파, 96, 157
타카, 79, 145
차다, 68, 177
가하, 64, 168
카마, 73, 185
사타, 89, 179
아아, 41, 182
파라, 83, 142
라다, 91, 175
바자, 84, 180
파자, 73, 151
아자, 90, 169
차아, 66, 176
차아, 53, 172
파가, 87, 175
나차, 46, 161
차나, 97, 177
타카, 72, 196
나파, 74, 171
마사, 84, 166
사사, 55, 166
차사, 95, 155
다하, 80, 186
마자, 77, 159
자타, 98, 185
아파, 68, 160
파마, 88, 190
마라, 78, 168
타하, 81, 174
나파, 69, 176
라나, 62, 171
다마, 55, 156
나차, 62, 151
가자, 97, 156
마사, 79, 163
하자, 64, 184
카자, 79, 149
하바, 83, 157
마카, 78, 197
아파, 93, 166
다사, 54, 144
바파, 90, 183
나아, 91, 142
차자, 89, 146
마다, 74, 171
마차, 82, 151
라마, 61, 197
바사, 68, 167
가바, 49, 179
카아, 96, 154
자다, 55, 154
자카, 83, 142
차마, 49, 172
다파, 77, 175
사가, 59, 155
타카, 97, 140
가사, 46, 151
마타, 66, 140
파사, 94, 180
가차, 58, 151
다자, 95, 166
타나, 64, 192
다라, 98, 177
카라, 97, 191
하아, 85, 160
라차, 95, 187
가카, 43, 173
마가, 86, 144
나자, 94, 185
타나, 84, 166
다가, 41, 173
하파, 43, 165
다다, 87, 169
나차, 69, 191
다마, 99, 181
카다, 78, 164
차차, 67, 149
타마, 65, 155
가라, 45, 178
가가, 79, 196
라자, 50, 187
카다, 64, 192
자나, 70, 164
하바, 44, 164
가타, 67, 183
마사, 83, 151
카하, 49, 184
나나, 41, 148
차바, 51, 143
자하, 52, 162
마차, 80, 170
카자, 98, 152
라아, 80, 177
나타, 46, 176
아타, 68, 184
카가, 69, 149
타차, 58, 179
가사, 80, 147
타파, 93, 160
나파, 57, 199
바타, 53, 155
바다, 47, 160
라자, 81, 149
가라, 43, 188
카다, 73, 163
아파, 64, 174
자바, 79, 184
파파, 53, 175
사자, 52, 158
차아, 47, 161
카바, 43, 196
파마, 60, 179
마사, 84, 148
차카, 59, 157
타카, 50, 183
타파, 90, 196
아아, 77, 154
바아, 57, 184
타라, 46, 192
아파, 88, 164
카파, 84, 183
카사, 66, 185
하자, 53, 142
다파, 87, 146
파나, 97, 156
차파, 82, 171
마차, 68, 170
타사, 79, 150
카자, 60, 160
자파, 85, 184
다라, 93, 180
바다, 66, 189
라마, 64, 171
아마, 56, 162
다사, 65, 166
파카, 51, 145
사파, 63, 163
라바, 56, 141
자가, 82, 179
카라, 73, 197
파다, 63, 187
나마, 75, 169
사마, 65, 165
마사, 43, 183
다차, 96, 170
카나, 80, 164
카자, 89, 181
라라, 46, 153
다자, 62, 160
자차, 41, 143
나마, 49, 198
하다, 65, 141
타사, 62, 166
파파, 47, 141
사파, 97, 195
타하, 92, 175
차마, 96, 178
마아, 40, 194
가차, 46, 141
사차, 83, 150
바마, 92, 141
사카, 78, 174
다바, 88, 156
다타, 80, 177
가마, 85, 171
타다, 70, 141
하다, 60, 156
다라, 69, 151
카라, 82, 181
카가, 52, 153
차다, 73, 167
마카, 85, 151
사라, 61, 164
하다, 96, 175
마타, 40, 159
타라, 80, 165
카가, 49, 159
타다, 45, 175
가라, 95, 188
마마, 78, 198
마카, 81, 181
하바, 62, 143
가아, 82, 156
아하, 43, 141
사마, 97, 160
사타, 78, 164
카자, 91, 152
차카, 73, 166
바자, 61, 177
다하, 53, 196
타사, 61, 178
카파, 74, 193
차카, 86, 153
사차, 66, 177
파바, 46, 144
라마, 88, 162
타마, 95, 176
하바, 71, 188
마사, 70, 157
자타, 81, 184
라라, 81, 173
아파, 55, 180
마다, 74, 151
파다, 54, 164
타바, 76, 185
파나, 88, 179
가사, 77, 197
바다, 71, 196
카파, 64, 194
하하, 68, 145
하차, 58, 184
차하, 62, 157
바아, 61, 189
차카, 75, 187
라파, 76, 153
가파, 73, 179
타가, 57, 172
라다, 97, 157
자자, 85, 165
파바, 46, 167
가하, 79, 185
사바, 98, 153
사가, 76, 141
가사, 67, 178
타파, 71, 174
다하, 84, 163
하자, 42, 160
나파, 98, 171
자사, 47, 162
타자, 74, 175
자자, 92, 179
가자, 99, 156
자자, 45, 181
가타, 93, 154
다라, 42, 153
차파, 61, 193
바카, 73, 192
하하, 55, 156
다자, 63, 180
마다, 75, 160
사카, 57, 140
다가, 90, 179
아차, 75, 174
아아, 76, 157
파차, 62, 142
사타, 95, 172
파파, 54, 170
마아, 63, 168
라가, 64, 186
카가, 80, 191
아가, 82, 145
타카, 70, 188
라마, 81, 140
자나, 73, 186
사다, 63, 143
바사, 73, 160
카아, 43, 163
다카, 42, 179
다하, 41, 152
자자, 78, 140
나바, 91, 157
차다, 60, 150
바차, 74, 179
타타, 94, 193
사자, 82, 170
자마, 80, 156
카타, 86, 149
타파, 88, 179
나아, 76, 185
마마, 89, 172
가타, 82, 140
바가, 88, 168
바카, 65, 186
파하, 69, 159
가타, 61, 199
타타, 40, 184
라나, 54, 156
라아, 70, 143
카다, 75, 147
가라, 66, 193
아차, 97, 157
카타, 74, 194
다가, 89, 146
아차, 41, 190
사바, 62, 143
라파, 99, 167
하파, 47, 151
나자, 82, 162
파라, 65, 155
바타, 57, 195
마타, 56, 185
카가, 83, 168
파타, 46, 189
바하, 80, 154
카바, 92, 171
타파, 81, 155
차아, 96, 144
타카, 81, 189
나카, 83, 170
다가, 98, 196
사자, 69, 158
다라, 56, 168
나나, 75, 167
가하, 44, 145
자차, 62, 169
차자, 71, 145
카하, 96, 164
사파, 76, 163
아카, 42, 191
하마, 89, 165
나바, 94, 196
다다, 93, 186
바카, 71, 181
라하, 90, 143
라자, 67, 196
파라, 76, 152
마가, 72, 198
아타, 93, 141
카다, 96, 184
파하, 54, 152
타바, 97, 147
카아, 94, 146
사가, 89, 172
차마, 55, 163
나라, 56, 166
사하, 99, 186
다가, 90, 172
다하, 53, 187
하카, 95, 198
하마, 59, 148
라사, 65, 186
사라, 60, 180
사가, 61, 169
바자, 73, 185
라차, 69, 158
카자, 70, 146
파가, 56, 179
나파, 66, 169
라바, 50, 190
파아, 51, 148
가나, 97, 154
사사, 55, 181
아다, 54, 155
카카, 68, 173
가나, 78, 192
사차, 90, 143
카파, 84, 195
바타, 64, 190
라하, 61, 160
라나, 46, 140
나사, 56, 157
마아, 81, 186
아나, 73, 171
라마, 46, 142
하마, 60, 156
바마, 93, 179
가라, 66, 161
파다, 62, 173
아라, 77, 194
아마, 41, 142
나하, 41, 176
아카, 60, 182
타하, 77, 145
라사, 49, 151
가바, 41, 163
타가, 60, 163
라파, 69, 173
파카, 44, 166
라바, 73, 182
카나, 75, 153
나하, 67, 147
하아, 53, 190
나나, 51, 152
파자, 64, 152
다파, 87, 161
아파, 81, 152
파나, 42, 159
하차, 80, 188
파나, 91, 179
마아, 93, 170
가아, 83, 141
자하, 83, 146
마자, 87, 169
사하, 60, 141
자마, 61, 187
카차, 40, 171
다파, 69, 142
타가, 67, 183
차바, 49, 149
타다, 65, 162
